id,main_speaker,main_speaker_description
1142,Eddie Obeng,"Edward David Asihene Obeng (born 1959) is a British organisational theorist, educator, and author, who serves as a professor at Henley Business School and Hult International Business School's Ashridge Executive Education."
1143,Eddie Woo,Edward Kent Woo is an Australian secondary school teacher and writer best known for his online mathematics lessons published on YouTube.
1144,Eddy Cartaya,"The Sandy Glacier Caves are a system of glacier caves within the ice of Sandy Glacier on Mount Hood, Oregon."
1145,Eden Girma,"Beta Israel (Hebrew: בֵּיתֶא יִשְׂרָאֵל‎, Beta Yisra'el; Ge'ez: ቤተ እስራኤል, Beta ʾƏsrāʾel, modern Bēte 'Isrā'ēl, EAE: ""Betä Ǝsraʾel"", ""House of Israel"" or ""Community of Israel""), also known as Ethiopian Jews (Hebrew: יְהוּדֵי אֶתְיוֹפְּיָה‎: Yehudey Etyopyah; Ge'ez: የኢትዮጵያ አይሁድዊ, ye-Ityoppya Ayhudi), are a Jewish community that developed and lived for centuries in the area of the Kingdom of Aksum and the Ethiopian Empire, which is currently divided between the modern-day Amhara and Tigray regions of Ethiopia."
1146,Edi Rama,"Edi Rama (born Edvin Kristaq Rama, 4 July 1964), is an Albanian politician, painter, writer, publicist, former pedagogue, and former basketball player who is currently serving as the 33rd Prime Minister of Albania."
1147,Edith Widder,"Edith Anne ""Edie"" Widder Smith (born 1951) is an American oceanographer, marine biologist, and the Co-founder, CEO and Senior Scientist at the Ocean Research & Conservation Association."
1148,Edmond Hui,"A paper plane (also known as a paper airplane in American English or paper aeroplane in British English) is a toy aircraft, usually a glider made out of single folded sheet of paper or paperboard."
1149,Edsel Salvaña,The COVID-19 pandemic in the Philippines is part of the worldwide pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).
1150,Eduardo Briceño,"Juegos de poder is a Chilean telenovela created by Luis Ponce, that premiered on Mega on March 11, 2019 and ended on December 12, 2019."
1151,Eduardo Paes,"Eduardo da Costa Paes (Brazilian Portuguese: [eˈdwaʁdu dɐ ˈkɔstɐ pɐjs], born 14 November 1969) is a Brazilian politician who was the mayor of the city of Rio de Janeiro from 2009 to 2012 and re-elected for a second term from 2013 to 2016."
1152,Eduardo Sáenz de Cabezón,"Eduardo Sáenz de Cabezón Irigaray (Logroño, La Rioja, Spain, June 24, 1972) is a Spanish mathematician, and professor of computer languages and systems at the University of La Rioja since 2001."
1153,Edward Burtynsky,"Edward Burtynsky (born February 22, 1955) is a Canadian photographer and artist known for his large format photographs of industrial landscapes."
1154,Edward Snowden,"Edward Joseph Snowden (born June 21, 1983) is a former computer intelligence consultant who leaked highly classified information from the National Security Agency (NSA) in 2013 when he was an employee and subcontractor for the Central Intelligence Agency (CIA)."
1155,Edward Tenner,"The Stahlhelm (German for ""steel helmet"") is a specific type of German military headgear made of steel, which is primarily intended to provide protection against shrapnel and fragments of grenades."
1156,Edwidge Danticat,"Edwidge Danticat (Haitian Creole pronunciation: [ɛdwidʒ dãtika]; born January 19, 1969) is a Haitian-American novelist and short story writer."
1157,Edwin Meyer,"Dakota Louis Meyer (born June 26, 1988) is a retired United States Marine."
1158,Efosa Ojomo,"Efosa Ojomo is a Nigerian author, researcher and speaker."
1159,Einav Gefen,This is the list of episodes (Seasons 21–40) for the Food Network competition reality series Chopped.
1160,Einav Zamir Dembin,
1161,Einstein the Parrot,"Alex (May 1976 – 6 September 2007) was a grey parrot and the subject of a thirty-year experiment by animal psychologist Irene Pepperberg, initially at the University of Arizona and later at Harvard University and Brandeis University."
1162,Elaine Fong,"Elaine Ng Yi Lei (born 23 September 1973), sometimes credited as Elaine Wu, is a Hong Kong actress."
1163,Elaine Morgan,"Elaine Morgan OBE, FRSL (7 November 1920 – 12 July 2013), was a Welsh writer for television and the author of several books on evolutionary anthropology, especially the aquatic ape hypothesis which she advocated as a corrective to what she saw as theories which purveyed gendered stereotypes and thus failed to adequately take account of women's role in human evolution."
1164,Eldra Jackson,
1165,Eldridge Adams,"USS Eldridge (DE-173), a  Cannon-class destroyer escort, was a ship of the United States Navy named for Lieutenant Commander John Eldridge Jr., a hero of the invasion of the Solomon Islands."
1166,Eleanor Longden,"The Hearing Voices Movement (HVM) is the name used by organizations and individuals advocating the ""hearing voices approach"", an alternative way of understanding the experience of those people who ""hear voices""."
1167,Eleanor Nelsen,"The knowledge argument (also known as  Mary's room  or Mary the super-scientist) is a philosophical thought experiment proposed by Frank Jackson in his article ""Epiphenomenal Qualia"" (1982) and extended in ""What Mary Didn't Know"" (1986)."
1168,Eleftheria Pissadaki,
1169,Elena Chavez Quezada,"General elections were held in Peru in on 9 April 2006 to elect the President, two Vice-Presidents, 120 members of Congress and five members of the Andean Parliament for the 2006–2011 period."
1170,Eleni Gabre-Madhin,"Eleni Zaude Gabre-Madhin, an Ethiopian economist with Swiss nationality, is a former Chief Executive Officer of the Ethiopia Commodity Exchange (ECX)."
1171,Eli Beer,"Eli Beer (born September 13, 1973 in Israel) is the founder of United Hatzalah of Israel, and President of the U.S.-based organization Friends of United Hatzalah."
1172,Eli Pariser,"Eli Pariser (born December 17, 1980) is an author, activist, and entrepreneur focused on how to make technology and media serve democracy."
1173,Elif Shafak,"Elif Shafak (Turkish: Elif Şafak, pronounced [eˈlif ʃaˈfak]; born 25 October 1971) is a Turkish-British novelist, essayist, academic, public speaker, and women's rights activist."
1174,Elijah Cummings,"Elijah Eugene Cummings (January 18, 1951 – October 17, 2019) was an American politician and civil rights advocate who served in the United States House of Representatives for Maryland's 7th congressional district from 1996 until his death in 2019, when he was succeeded by his predecessor Kweisi Mfume."
1175,Elisabeth Pierre,"Joseph-Pierre-Élisabeth Peytes de Montcabrié (also spelled Peites) (1771–1806) was a French soldier during the French Revolutionary Wars and superior officer in the Grande Armée during the Napoleonic Wars.Born in 1771 in Toulouse, Pierre-Élisabeth Peytes de Montcabrié was the second son of the then ensign, later rear-admiral of the French Navy."
1176,Elise LeGrow,"Elise Madeline LeGrow (born June 4, 1987) is a Canadian recording artist and songwriter."
1177,Elise Payzan-LeNestour,
1178,Elise Roy,"Elise Marie Stefanik (; born July 2, 1984) is an American politician and member of the Republican Party serving as the U.S. representative for New York's 21st congressional district since 2015 and the chair of the House Republican Conference since 2021."
1179,"Elizabeth ""Zibi"" Turtle","Elizabeth ""Zibi"" Turtle is a planetary scientist at the Johns Hopkins University Applied Physics Laboratory."
1180,Elizabeth Blackburn,"Elizabeth Helen Blackburn,  (born 26 November 1948) is an Australian-American Nobel laureate who is the former President of the Salk Institute for Biological Studies."
1181,Elizabeth Camarillo Gutierrez,"Hispanic and Latino Americans (Spanish: estadounidenses hispanos y latinos, Portuguese: Americanos hispânicos e latinos) are Americans of Spanish or Latin American ancestry."
1182,Elizabeth Cawein,"The Fugates, a family that lived in the hills of Kentucky, commonly known  as the ""Blue Fugates"" or the ""Blue People of Kentucky"", are notable for having been carriers of a genetic trait that led to the blood disorder methemoglobinemia, which causes the appearance of blue-tinged skin."
1183,Elizabeth Cox,"Lauren Elizabeth Cox (born April 20, 1998) is an American professional basketball player for the Indiana Fever of the Women's National Basketball Association (WNBA)."
1184,Elizabeth Diller,"Elizabeth Diller, also known as Liz Diller, is an American architect and partner in Diller Scofidio + Renfro, which she co-founded in 1979."
1185,Elizabeth Dunn,Elizabeth Warren Dunn is a Canadian social psychologist and a Professor of Social Psychology at the University of British Columbia (UBC).
1186,Elizabeth Gilbert,"Elizabeth Gilbert (born July 18, 1969) is an American journalist and author."
1187,Elizabeth Hellmuth Margulis,
1188,Elizabeth Howell,"Christopher Thomas Howell (born December 7, 1966) is an American actor and director."
1189,Elizabeth Leane,Shaun Leane (born 8 July 1969) is a British jewellery designer best known for his sculptural pieces created for Alexander McQueen.
1190,Elizabeth Lesser,"Elizabeth Lesser is the co-founder and senior adviser of Omega Institute, the largest adult education center in the United States focusing on health, wellness, spirituality and creativity."
1191,Elizabeth Lev,
1192,Elizabeth Lindsey,"Elizabeth Kapuʻuwailani Lindsey is the first Polynesian explorer and the first female Fellow of the National Geographic Society.Her work recognizes Pius ""Mau"" Piailug (Mau Piailug) of Micronesia, her mentor with whom she studied ethnonavigation."
1193,Elizabeth Loftus,"Elizabeth F. Loftus  (born Elizabeth Fishman October 16, 1944) is an American cognitive psychologist and expert on human memory."
1194,Elizabeth Lyle,Elizabeth Lyle Robbie Stadium is located in Falcon Heights on the Saint Paul campus of the University of Minnesota.
1195,Elizabeth Murchison,"Elizabeth Murchison is a British-Australian geneticist, Professor of Comparative Oncology and Genetics at the University of Cambridge, UK. The ongoing research of her group focuses on the known existing clonally transmissible cancers arising in mammals."
1196,Elizabeth Nyamayaro,Elizabeth Nyamayaro is a political scientist and former senior advisor to Under-Secretary-General and Executive Director for UN Women.
1197,Elizabeth Pisani,"Elizabeth Pisani (born 1964) is a British-American epidemiologist, public health consultant, author and former journalist."
1198,Elizabeth Stordeur Pryor,"Niger or the Niger ( or ; French: [niʒɛʁ]), officially the Republic of the Niger, is a landlocked country in West Africa named after the Niger River."
1199,Elizabeth Streb,"Elizabeth Streb (born February 23, 1950) is an American choreographer, performer, and teacher of contemporary dance."
1200,Elizabeth Waters,"Zoletta Lynn Taylor (March 17, 1938 – April 30, 2007) was an American singer."
1201,Elizabeth Wayne,Elizabeth (Liz) Wayne is an Assistant Professor of Biomedical Engineering and Chemical Engineering at Carnegie Mellon University and former Postdoc at the Center for Nanotechnology in Drug Delivery at the University of North Carolina at Chapel Hill.
1202,Elizabeth White,
1203,Ella Al-Shamahi,"Ella Al-Shamahi (Arabic: آلاء الشماحي‎) is an explorer, paleoanthropologist, evolutionary biologist and stand-up comic."
1204,Ellen 't Hoen,Ellen F. M. 't Hoen (born 1960) is an international medical activist.
1205,Ellen Agler,"The Legatum Prosperity Index is an annual ranking developed by the Legatum Institute, a division of the private investment firm Legatum."
1206,Ellen Dunham-Jones,"Ellen Dunham-Jones (January 27, 1959 - ) is an architectural educator and urbanist best known for her work on re-educating the public how to interact with their environment."
1207,Ellen Gustafson,"Ellen Gustafson is an American businessperson, social entrepreneur and sustainable food system activist."
1208,Ellen Jorgensen,Ellen D. Jorgensen (born 2 June 1955) is a New York-based molecular biologist leading the do-it-yourself biology movement.
1209,Elliot Krane,"The Sands Expo and Convention Center is a convention center located in Paradise, Nevada, near the Las Vegas Strip."
1210,Elon Musk,
1211,Elora Hardy,"Elora Hardy (born 1980) is a Canadian designer, who founded the company IBUKU. She is most well known for designing (along with her team IBUKU and her father John Hardy) a community of bamboo homes near Denpasar in Bali."
1212,Elyn Saks,"Elyn R. Saks is Associate Dean and Orrin B. Evans Professor of Law, Psychology, and Psychiatry and the Behavioral Sciences at the University of Southern California Gould Law School, an expert in mental health law, and a MacArthur Foundation Fellowship winner."
1213,Elyse Cox,"Veanne Cox (born January 19, 1963) is an Emmy and Tony-nominated American stage and screen actress and former ballet dancer."
1214,Eman Mohammed,"The Louvre Abu Dhabi (Arabic: اللوفر أبوظبي‎; French: Louvre Abou Dabi) is an art and civilization museum, located in Abu Dhabi, United Arab Emirates."
1215,Emeli Sandé,"Adele Emily Sandé,  ( SAN-day; born 10 March 1987), known professionally as Emeli Sandé, is a Scottish singer and songwriter."
1216,Emilie Wapnick,"Multipotentiality is an educational and psychological term referring to the ability and preference of a person, particularly one of strong intellectual or artistic curiosity, to excel in two or more different fields.It can also refer to an individual whose interests span multiple fields or areas, rather than being strong in just one."
1217,Emilie Weight,"The Dionne quintuplets (French pronunciation: ​[djɔn]; born May 28, 1934) are the first quintuplets known to have survived their infancy."
1218,Emily Anhalt,"The Virginian is an American Western television series which ran from September 19, 1962 until March 24, 1971, with a total of 249 episodes across nine seasons."
1219,Emily Balcetis,Emily E. Balcetis is an American social psychologist and Associate Professor of Psychology at New York University.
1220,Emily Dickinson,"Emily Elizabeth Dickinson (December 10, 1830 – May 15, 1886) was an American poet."
1221,Emily Esfahani Smith,"Loma Linda (Spanish for '""beautiful hill""') is a city in San Bernardino County, California, United States, that was incorporated in 1970."
1222,Emily F. Rothman,"The Five-Year Engagement is a 2012 American romantic comedy film written, directed, and produced by Nicholas Stoller."
1223,Emily King,"Emily King (born July 10, 1985) is an American singer and songwriter."
1224,Emily Leproust,
1225,Emily Levesque,Emily Levesque (born 1984) is an American astronomer and assistant professor in the Department of Astronomy at the University of Washington.
1226,Emily Levine,"Emily Levine (October 20, 1944 - February 3, 2019) was an American humorist, writer, actress and public speaker who lectured on science and the human condition."
1227,Emily Nagoski,
1228,Emily Oster,"Emily Fair Oster (born February 14, 1980) is an American economist and bestselling author."
1229,Emily Parsons-Lord,
1230,Emily Pilloton,"Field of Dreams is a 1989 American sports fantasy drama film written and directed by Phil Alden Robinson, adapting W. P. Kinsella's 1982 novel Shoeless Joe."
1231,Emily Quinn,The Predator is a 2018 American science fiction action film directed by Shane Black and written by Black and Fred Dekker.
1232,Emma Belcher,"Ploughshares Fund is a public grantmaking foundation that supports initiatives to prevent the spread and use of nuclear weapons, and to prevent conflicts that could lead to their use."
1233,Emma Bridgewater,"Emma Bridgewater is a British ceramics manufacturing company founded in 1985 which is named after Emma Rice CBE, née Bridgewater."
1234,Emma Bryce,"Bryce Michael Hall (born August 14, 1999) is an American social media personality known for his TikToks and YouTube channel."
1235,Emma Lazarus,"Emma Lazarus (July 22, 1849 – November 19, 1887) was an American author of poetry, prose, and translations, as well as an activist for Jewish causes."
1236,Emma Marris,"Emma Marris (born January 15, 1979) is an American non-fiction writer whose works focus on modern environmentalism."
1237,Emma Rodero,Adventures of the Barber of Seville (Spanish: Aventuras del barbero de Sevilla) is a 1954 Spanish comedy film directed by Ladislao Vajda.
1238,Emma Schachner,"Judith Byron ""Judy"" Schachner (born August 20, 1951) is an American children's writer and illustrator."
1239,Emma Teeling,"Emma Caroline Teeling  is an Irish zoologist, geneticist and genomicist, who specialises in the phylogenetics and genomics of bats."
1240,Emmanuel Jal,Emmanuel Jal (born Jal Jok c.
1241,Emmanuel Schanzer,"In computer science, functional programming is a programming paradigm where programs are constructed by applying and composing functions."
1242,Emmett Shear,Emmett Shear (born 1983) is an American internet entrepreneur and investor.
1243,Emtithal Mahmoud,"Emtithal ""Emi"" Mahmoud (Arabic: إمتثال ""إيمي"" محمود‎; born 1992 or 1993 in Darfur, Sudan) is a Sudanese-American poet and activist, who won the 2015 Individual World Poetry Slam championship."
1244,Enric Sala,"Enric Sala (born November 26, 1968, Girona) is a former university professor who saw himself writing the obituary of ocean life, and quit academia to become a full-time conservationist as a National Geographic Explorer-in-Residence."
1245,Enrico Ramirez-Ruiz,Laura A. Lopez is an associate professor of astronomy at Ohio State University studying the life cycle of stars.
1246,Enrique Peñalosa,"Enrique Peñalosa Londoño (born September 30, 1954, Washington, DC) is a Colombian politician."
1247,Erez Garty,Science journalism conveys reporting about science to the public.
1248,Erez Yoeli,David G. Rand is an associate professor of management science and brain and cognitive sciences at Massachusetts Institute of Technology.
1249,Eric Berlow,Eric L. Berlow is an American ecologist and data scientist.
1250,Eric Berlow and Sean Gourley,"Digital privacy is often used in contexts that promote advocacy on behalf of individual and consumer privacy rights in e-services and is typically used in opposition to the business practices of many e-marketers, businesses, and companies to collect and use such information and data."
1251,Eric Berridge,"The reward system (the mesocorticolimbic circuit) is a group of neural structures responsible for incentive salience (i.e., motivation and ""wanting""; desire or craving for a reward), associative learning (primarily positive reinforcement and classical conditioning), and positively-valenced emotions, particularly ones involving pleasure as a core component (e.g., joy, euphoria and ecstasy)."
1252,Eric Dishman,The All of Us Research Program (previously known as the Precision Medicine Initiative Cohort Program) is a research program created in 2015 during the tenure of Barack Obama with $130 million in funding that aims to make advances in tailoring medical care to the individual.
1253,Eric Dyer,"In mathematics, the Birch and Swinnerton-Dyer conjecture describes the set of rational solutions to equations defining an elliptic curve."
1254,Eric Garcetti,"Eric Michael Garcetti (born February 4, 1971) is an American politician serving as the 42nd and current mayor of Los Angeles since 2013."
1255,Eric Giler,
1256,Eric Lewis,"Eric Robert Lewis (born May 13, 1973), popularly known as ELEW, is an American jazz pianist who has found cross-over success playing rock and pop music."
1257,Eric Liu,Eric P. Liu (born 1968) is a Chinese American writer and founder of Citizen University.
1258,Eric Mead,Eric Alfred Meads (17 August 1916 – 23 June 2006) was an English cricketer active from 1939 to 1954 who played for Nottinghamshire.
1259,Eric Mibuari,
1260,Eric Sanderson,"The Raw Shark Texts is the debut novel by author Steven Hall, released in 2007."
1261,Eric Sannerud,
1262,Eric Topol,"Eric Jeffrey Topol (born 26 June 1954) is an American cardiologist, scientist, and author."
1263,Eric Whitacre,"Eric Edward Whitacre (born January 2, 1970) is an American composer, conductor, and speaker known for his choral, orchestral, and wind ensemble music."
1264,Eric X. Li,Eric Xun Li (born 1968; Chinese: 李世默; pinyin: Lǐ Shìmò) is a Chinese venture capitalist and political scientist.
1265,Eric Yuan,"Eric S. Yuan (Chinese: 袁征; pinyin: Yuán Zhēng; born 20 February 1970) is a Chinese-American billionaire businessman, engineer, and the CEO and Founder of Zoom Video Communications, of which he owns 22%."
1266,Erica Frenkel,Douglas Norman Frenkel   is the Morris Shuster Practice Professor of Law at the University of Pennsylvania Law School.
1267,Erica Joy Baker,"Erica Joy Baker (born 1980) is an engineer in the San Francisco Bay Area, Chief Technology Officer for the Democratic Congressional Campaign Committee, and known for her outspoken support of diversity and inclusion."
1268,Erica Stone,"Teacher's Pet is a 1958 American romantic comedy film directed by George Seaton, and starring Clark Gable, Doris Day, Gig Young, and Mamie Van Doren."
1269,Erick Brethenoux,MLOps is the process of taking an experimental Machine Learning model into a production system.
1270,Erick Wilberding,
1271,Erik Brynjolfsson,Erik Brynjolfsson (born 1962) is an American academic.
1272,Erik Hersman,"Erik Hersman (born 1975) is a technologist, blogger and commentator who specialises in the impact and application of technology throughout Africa."
1273,Erik Johansson,
1274,Erik Schlangen,Self-healing materials are artificial or synthetically-created substances that have the built-in ability to automatically repair damages to themselves without any external diagnosis of the problem or human intervention.
1275,Erika Cheung,"The Inventor: Out for Blood in Silicon Valley is a 2019 American documentary film, directed and produced by Alex Gibney."
1276,Erika Debenedictis,"23131 Debenedictis, provisional designation 2000 AS128, is a bright background asteroid from the inner region of the asteroid belt, approximately 4 kilometers in diameter."
1277,Erika Gregory,"Erica Abi Wright (born February 26, 1971), known professionally as Erykah Badu (), is an American singer-songwriter, record producer and actress."
1278,Erika Hamden,Erika Tobiason Hamden is an American astrophysicist and Assistant Professor at the University of Arizona and Steward Observatory.
1279,Erika Pinheiro,"Want That Life is the ninth studio album by British new wave band the Fixx, released in 2003."
1280,Erin Baumgartner,The Boston Renegades are a tackle football team in the Women's Football Alliance.
1281,Erin Marie Saltman,"Beginning in 2012, dozens of girls and women traveled to Iraq and Syria to join the Islamic State of Iraq and the Levant (ISIL), becoming brides of ISIL fighters."
1282,Erin McKean,Erin McKean (born 1971) is an American lexicographer.
1283,Erin Sullivan,"When Los Angeles-based writer and travel photographer Erin Sullivan found herself stuck inside due to COVID-19 lockdowns, she wanted to find a way to keep her imagination and creative practice alive."
1284,Ernest Madu,"Ernest Madu (born February 18, 1960) is a nuclear cardiologist whose work focuses on providing affordable public healthcare in low-resource nations."
1285,Ernestine Leikeki Sevidzem,
1286,Ernesto Sirolli,"Ernesto Sirolli (born September 22, 1950) is an Italian author and public speaker with expertise in the field of local economic development."
1287,Erricka Bridgeford,Erricka Bridgeford is an African American activist from Baltimore.
1288,Es Devlin,"Esmeralda ""Es"" Devlin  (; born 24 September 1971) is a London-based artist and stage designer who works in a range of media, often mapping light and projected film onto kinetic sculptural forms."
1289,Esha Alwani,Raasta (Urdu: راستہ‎; transl. Path) is a 2017 Pakistani action thriller film directed by Sahir Lodhi.
1290,Essam Daod,
1291,Esta Soler,"Esta Soler (born June 26, 1947 in Bridgeport, Connecticut, US) is an American activist who founded the social justice organization Futures Without Violence, and serves as president of FUTURES. Early life: Soler was born in Bridgeport in 1947."
1292,Estelle Gibson,All of Me is the third studio album by British R&B recording artist and producer Estelle.
1293,Esther Choo,
1294,Esther Duflo,"Esther Duflo, FBA (French: [dyflo]; born 25 October 1972) is a French–American economist who is a professor of Poverty Alleviation and Development Economics at the Massachusetts Institute of Technology (MIT)."
1295,Esther Meduna,The Elsie Locke Non-Fiction Award was first awarded in 2002 by the Library and Information Association of New Zealand Aotearoa (LIANZA).
1296,Esther Ndichu,
1297,Esther Perel,"Esther Perel (born 1958) is a Belgian psychotherapist of Polish-Jewish descent who has explored the tension between the need for security (love, belonging and closeness) and the need for freedom (erotic desire, adventure and distance) in human relationships.Perel promoted the concept of ""erotic intelligence"" in her book Mating in Captivity: Unlocking Erotic Intelligence (2006), which has been translated into 24 languages."
1298,Esther Sullivan,"Esther Jane Williams (August 8, 1921 – June 6, 2013) was an American competitive swimmer and actress."
1299,Ethan Hawke,"Ethan Green Hawke (born November 6, 1970) is an American actor, writer, and director."
1300,Ethan Lindenberger,"Ethan Lindenberger (born September 30, 2000) is an American activist known for his opposition to anti-vaccine disinformation campaigns."
1301,Ethan Lisi,"Pact with the Devil, known in Canada as Dorian, is a 2004 Canadian-British drama film directed by Allan A. Goldstein and starring Ethan Erickson, Malcolm McDowell and Christoph Waltz."
1302,Ethan Mann,"Aimee Elizabeth Mann (born September 8, 1960) is an American singer-songwriter."
1303,Ethan Nadelmann,"Ethan A. Nadelmann (born March 13, 1957) is the founder of the Drug Policy Alliance, a New York City-based non-profit organization working to end the War on Drugs."
1304,Ethan Zuckerman,"Ethan Zuckerman (born 1973) is an American media scholar, blogger, and Internet activist."
1305,Ethel,"Ethel (also æthel) is an Old English word meaning ""noble"", today often used as a feminine given name and sometimes as a surname."
1306,Eugenia Cheng,Eugenia Loh-Gene Cheng is a British mathematician and concert pianist.
1307,Euna Lee,Euna Lee (Hangul: 리유나; born 1972) is a Korean American journalist.
1308,Euvin Naidoo,In 2011 Euvin Naidoo was selected by Forbes onto their Top 10 most Powerful and Influential Men under Forty in Africa list.
1309,Eva Galperin,Eva Galperin is the Director of Cybersecurity at the Electronic Frontier Foundation (EFF) and technical advisor for the Freedom of the Press Foundation.
1310,Eva Vertes,"Eva Vertes George (born 1985) is a Canadian Alzheimer's and cancer researcher and a resident physician in pathology at the  University of Florida College of Medicine, where she earned an M.D. degree after attending Princeton University as an undergraduate."
1311,Eva Zeisel,"Eva Striker Zeisel (born Éva Amália Striker, November 13, 1906 – December 30, 2011) was a Hungarian-born American industrial designer known for her work with ceramics, primarily from the period after she immigrated to the United States."
1312,Eva-Maria Geigl,"Peking Man (Homo erectus pekinensis, formerly known by the junior synonym Sinanthropus pekinensis) is a group of fossil specimens of Homo erectus,  dated from roughly 750,000 years ago, discovered in 1929–37 during excavations at Zhoukoudian (Chou K'ou-tien) near Beijing (at the time romanized as Peking), China."
1313,Evan Grant,"Dear Evan Hansen is a stage musical with music and lyrics by Benj Pasek and Justin Paul, and book by Steven Levenson.The musical opened on Broadway at the Music Box Theatre in December 2016, after the show’s world premiere at the Arena Stage in Washington, D.C., in July 2015 and an off-Broadway production at Second Stage Theatre from March to May 2016."
1314,Evan Williams,"Evan Clark Williams (born 31 March 1972) is an American technology entrepreneur who is the co-founder of several technology companies, including Twitter."
1315,Evan Zodl,"The names of many places in the Czech lands (Bohemia, Moravia, Austrian Silesia) have evolved during their history."
1316,Eve Abrams,"Star Trek Into Darkness is a 2013 American science fiction action film directed by J. J. Abrams and written by Roberto Orci, Alex Kurtzman, and Damon Lindelof."
1317,Eve Ensler,"Eve Ensler (; born May 25, 1953), also known mononymously as V, is an American playwright, performer, feminist, and activist."
1318,Eve Gaus and Vanessa Ruiz,
1319,Eve Pearlman,
1320,Evelyn Glennie,
1321,Evgeny Morozov,"Evgeny Morozov (Russian: Eвге́ний Моро́зов; Belarusian: Яўгені Марозаў; born in 1984) is an American writer, researcher, and intellectual from Belarus who studies political and social implications of technology."
1322,Ewandro Magalhaes,"The Middlebury Institute of International Studies at Monterey (MIIS), formerly known as the Monterey Institute of International Studies, is an American graduate school within Middlebury College, a private college in Middlebury, Vermont."
1323,Eythor Bender,"La Ciudad de las Ideas (stylized as CDI) is an annual conference held in Puebla, Mexico, produced by Mexican writer and television producer Andrés Roemer."
1324,Fabian Hemmert,"The Conjuring Universe is an American media franchise and shared universe centered on a series of supernatural horror films, produced by New Line Cinema, the Safran Company, and Atomic Monster Productions and distributed by Warner Bros."
1325,Fabian Oefner,"Fabian Oefner (born 1984, Switzerland) creates colorful art by harnessing scientific properties in an effort to bring to attention the beauty of the natural world and how it works."
1326,Fabien Cousteau,"Fabien Cousteau (born 2 October 1967) is an aquanaut, ocean conservationist, and documentary filmmaker."
1327,Fabio Pacucci,
1328,Fadi Chehadé and Bryn Freedman,
1329,Fahad Al-Attiya,Sheikh Tamim bin Hamad al-Thani  (Arabic: تميم بن حمد بن خليفة آل ثاني‎; born 3 June 1980) is the Emir of Qatar.
1330,Fahad Saeed,
1331,Faith Jegede Cole,This is a list of Nigeria women's international footballers who have played for the Nigeria women's national football team since the first match in 1991.
1332,Faith Osier,"Faith Hope Among’in Osier is a Kenyan immunologist, paediatrician and educator."
1333,Fang Ruan,Ruan Fangfu (阮芳赋) also called Fang Fu Ruan is a Chinese physician and medical historian.
1334,Far Flung,Universal Eclectic Wicca (UEW) is one of a number of distinctly American Wiccan traditions which developed following the introduction of Gardnerian and Alexandrian Wicca to the United States in the early 1960s.
1335,Far Flung with Saleem Reshamwala,
1336,Fareed Zakaria,"Fareed Rafiq Zakaria (; born 20 January 1964) is an Indian-American journalist, political commentator, and author."
1337,Farida Nabourema,Farida Bemba Nabourema (born 1990) is a Togolese human rights activist and writer who has fought for democracy in Togo since she was a teenager.
1338,Farish Ahmad-Noor,"Farish Ahmad Noor (born in 1967 in Georgetown, Penang) is a political scientist and historian and is Associate Professor at the Rajaratnam School of International Studies as well as the School of Humanities' (SoH) Department of History at the Nanyang Technological University, Singapore."
1339,Fatima AlZahra'a Alatraktchi,
1340,Fawn Qiu,
1341,Fay Bound Alberti,"Fay Bound Alberti (born 1971) is a British cultural historian of gender, emotion and medicine, an honorary senior research fellow in history at Queen Mary University of London and Reader in History and UKRI Future Leaders Fellow at the University of York where she is also co-Director of the Centre for Global Health Histories."
1342,Federica Bianco,"Jason Strout (born May 1, 1977) is an American former kickboxer and boxer from Roufusport competition team based in  Milwaukee, Wisconsin, United States."
1343,Fei-Fei Li,"Fei-Fei Li (simplified Chinese: 李飞飞; traditional Chinese: 李飛飛; born 1976) is an American computer scientist, a higher education leader, non-profit executive, and writer."
1344,Feisal Abdul Rauf,"Feisal Abdul Rauf (Arabic: فيصل عبد الرؤوف‎, born 1948) is an American Sufi imam, author, and activist whose stated goal is to improve relations between the Muslim world and the West."
1345,Felice Belle and Jennifer Murphy,The year 1990 in film involved many significant events as shown below.
1346,Felix Dennis,"Felix Dennis (27 May 1947 – 22 June 2014) was an English publisher, poet, spoken-word performer and philanthropist."
1347,Fernanda Castillo,
1348,Fernando Salem,"Doggy Day School is a Brazilian-Canadian flash-animated children's television series created by Cathy Moss, who also created Franny's Feet."
1349,Fields Wicker-Miurin,BNP Paribas S.A. is a French international banking group.
1350,Findlay Napier and Gillian Frame,Findlay Napier (born November 1978) is a Scottish singer songwriter and teaching artist.
1351,Finn Lützow-Holm Myrstad,
1352,Fiona Radford,"Radford College is an independent school, Anglican, coeducational day school, located in Bruce, Australian Capital Territory, Australia."
1353,Fiorenzo Omenetto,"A light-emitting diode tattoo is a type of body modification similar to a tattoo, but specifically involves implantation of technologically based materials versus traditional ink injection into the layers of the skin."
1354,First Aid Kit,A first aid kit is a collection of supplies and equipment that is used to give medical treatment.
1355,Flor de Toloache,Flor de Toloache is an all-female mariachi band based in New York City and founded by Mireya I. Ramos and Shae Fiol in 2008.
1356,Florian Pinel,
